Ticker,Name,Sector,Industry,Price,P_Target,Prob_Up %,Analyst_recomm,Buy_percent,Sell_percent,Analysts_number
TGI,"Triumph Group, Inc.",Industrials,Aerospace & Defense,12.21,13.43,9.99,hold,28.57,14.29,14
FCFS,"FirstCash Holdings, Inc.",Financial Services,Credit Services,92.74,114.5,23.46,buy,66.67,0.0,6
PED,Pedevco Corp.,Energy,Oil & Gas E&P,0.89,2.27,155.06,buy,100.0,0.0,2
ACKB.BR,ACKERMANS V.HAAREN,Industrials,Engineering & Construction,147.9,183.0,23.73,buy,0.0,0.0,5
LAGR-B.ST,Lagercrantz Group AB ser B,Technology,Electronic Components,131.9,137.0,3.87,hold,66.67,0.0,3
VALN,Valneva SE,Healthcare,Biotechnology,15.75,18.82,19.49,buy,80.0,0.0,5
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,86.37,87.91,1.78,buy,40.0,0.0,15
CDTX,"Cidara Therapeutics, Inc.",Healthcare,Biotechnology,1.16,6.0,417.24,buy,88.89,0.0,9
SAFE,Safehold Inc. New,Real Estate,REIT—Diversified,22.32,37.25,66.89,buy,16.67,0.0,6
TISI,"Team, Inc.",Industrials,Specialty Business Services,6.48,13.0,100.62,buy,60.0,0.0,5
RVYL,Ryvyl Inc.,Technology,Software—Infrastructure,0.62,2.5,303.23,hold,0.0,0.0,1
TWO,Two Harbors Investment Corp,Real Estate,REIT—Mortgage,13.17,14.33,8.81,hold,100.0,0.0,9
6005.T,MIURA CO LTD,Industrials,Specialty Industrial Machinery,3791.0,4206.0,10.95,buy,100.0,0.0,2
CPE,Callon Petroleum Company,Energy,Oil & Gas E&P,32.01,49.14,53.51,hold,88.0,0.0,25
UVSP,Univest Financial Corporation,Financial Services,Banks—Regional,18.51,24.67,33.28,hold,33.33,0.0,3
WWI.OL,WILH. WILHELMSEN HOLDING SER. A,Industrials,Marine Shipping,281.5,455.41,61.78,strong_buy,100.0,0.0,3
KTTA,Pasithea Therapeutics Corp.,Healthcare,Biotechnology,0.47,2.0,325.53,buy,100.0,0.0,1
TALO,"Talos Energy, Inc.",Energy,Oil & Gas E&P,13.34,20.83,56.15,buy,100.0,0.0,2
MCRB,"Seres Therapeutics, Inc.",Healthcare,Biotechnology,5.3,11.0,107.55,buy,77.78,0.0,9
RAND.AS,Randstad N.V.,Industrials,Staffing & Employment Services,47.27,49.2,4.08,underperform,45.0,10.0,20
MMAT,Meta Materials Inc.,Technology,Electronic Components,0.19,1.83,863.16,buy,100.0,0.0,3
JEF,Jefferies Financial Group Inc.,Financial Services,Capital Markets,31.42,34.88,11.01,hold,20.0,20.0,5
DLN.L,DERWENT LONDON PLC ORD 5P,Real Estate,REIT—Office,1985.0,2788.12,40.46,buy,31.58,15.79,19
CWBHF,CHARLOTTES WEB HOLDINGS INC,Healthcare,Drug Manufacturers—Specialty & Generic,0.18,1.0,455.56,buy,100.0,0.0,3
NETI,Eneti Inc.,Industrials,Marine Shipping,11.65,13.76,18.11,strong_buy,100.0,0.0,9
RLX,RLX Technology Inc.,Consumer Defensive,Tobacco,1.73,4.93,184.97,buy,100.0,0.0,3
CLS.TO,"CELESTICA INC., SV",Technology,Electronic Components,18.81,19.23,2.23,buy,20.0,0.0,5
CIR,"CIRCOR International, Inc.",Industrials,Specialty Industrial Machinery,47.94,49.0,2.21,hold,80.0,0.0,5
1720.T,TOKYU CONSTRUCTION CO(NEW),Industrials,Engineering & Construction,739.0,690.0,-6.63,hold,100.0,0.0,1
2296.T,ITOHAM YONEKYU HOLDINGS INC,Consumer Defensive,Packaged Foods,720.0,716.7,-0.46,hold,75.0,0.0,4
SIG,Signet Jewelers Limited,Consumer Cyclical,Luxury Goods,62.32,82.5,32.38,hold,38.46,0.0,13
POSI3.SA,POSITIVO TECON      NM,Technology,Computer Hardware,9.16,13.66,49.13,buy,100.0,0.0,1
CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,241.66,304.17,25.87,buy,62.5,0.0,8
EPR,EPR Properties,Real Estate,REIT—Specialty,43.69,47.33,8.33,buy,50.0,0.0,10
CFIN,CITIZENS FINANCIAL CORPORATION ,Financial Services,Insurance—Life,7600.0,47.0,-99.38,strong_buy,100.0,0.0,1
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,178.15,181.35,1.8,buy,54.55,4.55,22
3401.T,TEIJIN LTD,Industrials,Conglomerates,1387.5,1500.0,8.11,hold,22.22,0.0,9
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,181.67,207.31,14.11,buy,64.29,0.0,14
PGTI,"PGT Innovations, Inc.",Industrials,Building Products & Equipment,28.06,33.33,18.78,buy,71.43,0.0,7
FING-B.ST,Fingerprint Cards AB ser. B,Technology,Scientific & Technical Instruments,1.82,27.83,1429.12,none,0.0,66.67,6
8976.T,DAIWA OFFICE INVESTMENT CORP,Real Estate,REIT—Office,594000.0,629333.0,5.95,hold,25.0,0.0,4
FGEN,"FibroGen, Inc",Healthcare,Biotechnology,16.05,25.5,58.88,buy,71.43,0.0,7
BFST,"Business First Bancshares, Inc.",Financial Services,Banks—Regional,15.73,19.9,26.51,buy,100.0,0.0,1
PDCO,"Patterson Companies, Inc.",Healthcare,Medical Distribution,31.14,35.05,12.56,hold,28.57,7.14,14
GMBL,Esports Entertainment Group Inc,Consumer Cyclical,Gambling,1.3,2.0,53.85,hold,0.0,0.0,1
CURLF,CURALEAF HOLDINGS  INC,Healthcare,Drug Manufacturers—Specialty & Generic,3.11,5.3,70.42,buy,93.33,0.0,15
ADC,Agree Realty Corporation,Real Estate,REIT—Retail,65.03,76.04,16.93,buy,70.0,0.0,10
APX.AX,APPEN FPO,Technology,Information Technology Services,2.6,2.31,-11.15,hold,40.0,20.0,5
AALB.AS,AALBERTS N.V.,Industrials,Specialty Industrial Machinery,37.63,54.1,43.77,buy,42.86,0.0,7
EDPR.LS,EDP RENOVAVEIS,Utilities,Utilities—Renewable,18.73,23.2,23.87,buy,54.55,4.55,22
SAVA,"Cassava Sciences, Inc.",Healthcare,Biotechnology,24.83,112.0,351.07,buy,100.0,0.0,2
RSW.L,RENISHAW PLC ORD 20P,Technology,Scientific & Technical Instruments,3892.0,4280.14,9.97,hold,20.0,40.0,10
4041.T,NIPPON SODA CO LTD,Basic Materials,Chemicals,5000.0,5400.0,8.0,buy,50.0,0.0,2
CUP-U.TO,CARIBBEAN UTIL US,Utilities,Utilities—Regulated Electric,13.0,15.0,15.38,hold,0.0,0.0,1
KOS,Kosmos Energy Ltd.,Energy,Oil & Gas E&P,5.47,10.16,85.74,buy,73.33,0.0,15
APC.AX,AUSPOTASH FPO,Basic Materials,Other Industrial Metals & Mining,0.01,0.29,2800.0,buy,100.0,0.0,1
OSA,"ProSomnus, Inc.",Healthcare,Medical Devices,3.99,9.5,138.1,buy,100.0,0.0,2
EXPI,"eXp World Holdings, Inc.",Real Estate,Real Estate Services,18.44,20.0,8.46,buy,100.0,0.0,1
NMR,Nomura Holdings Inc,Financial Services,Capital Markets,3.8,3.76,-1.05,none,0.0,0.0,1
9435.T,HIKARI TSUSHIN INC,Industrials,Conglomerates,20600.0,22750.0,10.44,buy,66.67,0.0,3
7860.T,AVEX INC,Communication Services,Entertainment,1494.0,2070.0,38.55,buy,100.0,0.0,2
MGT.WA,MANGATA,Industrials,Tools & Accessories,98.0,117.1,19.49,hold,100.0,0.0,2
6474.T,NACHI-FUJIKOSHI CORP,Industrials,Tools & Accessories,4080.0,4494.0,10.15,hold,50.0,16.67,6
CAL,"Caleres, Inc.",Consumer Cyclical,Footwear & Accessories,24.19,30.5,26.09,buy,71.43,0.0,7
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,477.0,584.43,22.52,buy,100.0,0.0,22
BRKL,"Brookline Bancorp, Inc.",Financial Services,Banks—Regional,8.79,12.33,40.27,buy,40.0,0.0,5
MIST,Milestone Pharmaceuticals Inc.,Healthcare,Biotechnology,3.15,14.2,350.79,buy,100.0,0.0,5
7278.T,EXEDY CORPORATION,Consumer Cyclical,Auto Parts,2328.0,1900.0,-18.38,hold,0.0,20.0,5
VOXX,VOXX International Corporation,Technology,Consumer Electronics,11.27,8.58,-23.87,buy,0.0,0.0,1
8369.T,BANK OF KYOTO,Financial Services,Banks—Regional,7117.0,6300.0,-11.48,hold,0.0,0.0,3
SIX,Six Flags Entertainment Corpora,Consumer Cyclical,Leisure,26.37,32.38,22.79,buy,83.33,8.33,12
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,186.61,190.27,1.96,buy,87.5,0.0,16
JMIA,Jumia Technologies AG,Consumer Cyclical,Internet Retail,3.25,4.0,23.08,hold,0.0,25.0,4
CACI,"CACI International, Inc.",Technology,Information Technology Services,328.29,345.4,5.21,buy,78.57,0.0,14
GSMG,Glory Star New Media Group Hold,Communication Services,Advertising Agencies,0.52,7.5,1342.31,buy,100.0,0.0,1
EFX,"Equifax, Inc.",Industrials,Consulting Services,224.03,220.28,-1.67,buy,62.5,0.0,16
DISH,DISH Network Corporation,Communication Services,Telecom Services,6.02,16.86,180.07,hold,47.83,13.04,23
ICLK,iClick Interactive Asia Group L,Communication Services,Advertising Agencies,1.68,13.35,694.64,strong_buy,100.0,0.0,1
XOS,"Xos, Inc.",Industrials,Farm & Heavy Construction Machinery,0.32,1.81,465.62,buy,50.0,16.67,6
ZNTL,"Zentalis Pharmaceuticals, Inc.",Healthcare,Biotechnology,29.0,50.3,73.45,strong_buy,100.0,0.0,11
PFD.L,PREMIER FOODS PLC ORD 10P,Consumer Defensive,Packaged Foods,129.0,162.0,25.58,strong_buy,0.0,33.33,6
NEP,"NextEra Energy Partners, LP",Utilities,Utilities—Renewable,58.61,77.79,32.72,buy,53.85,7.69,13
9301.T,MITSUBISHI LOGISTICS CORP,Industrials,Integrated Freight & Logistics,3579.0,3750.0,4.78,hold,0.0,0.0,2
GOVX,"GeoVax Labs, Inc.",Healthcare,Biotechnology,0.59,5.4,815.25,buy,100.0,0.0,5
ENQ.ST,EnQuest PLC,Energy,Oil & Gas E&P,2.06,2.78,34.95,hold,100.0,0.0,1
LSCC,Lattice Semiconductor Corporati,Technology,Semiconductors,85.35,98.78,15.74,buy,25.0,0.0,4
3591.T,WACOAL HOLDINGS CORP,Consumer Cyclical,Apparel Manufacturing,2840.0,2500.0,-11.97,none,0.0,0.0,1
MCBS,"MetroCity Bankshares, Inc.",Financial Services,Banks—Regional,18.12,19.0,4.86,hold,0.0,0.0,2
QRTEA,Liberty Interactive Corporation,Consumer Cyclical,Internet Retail,0.87,0.7,-19.54,hold,0.0,50.0,2
RSVR,"Reservoir Media, Inc..",Communication Services,Entertainment,6.05,12.67,109.42,buy,100.0,0.0,3
QS,QuantumScape Corporation,Consumer Cyclical,Auto Parts,6.84,5.86,-14.33,underperform,0.0,100.0,1
GOOS.TO,CANADA GOOSE HOLDINGS INC,Consumer Cyclical,Apparel Manufacturing,20.92,27.06,29.35,hold,66.67,6.67,15
PRTC,PureTech Health plc,Healthcare,Biotechnology,29.7,70.0,135.69,strong_buy,100.0,0.0,1
OPI,Office Properties Income Trust,Real Estate,REIT—Office,7.15,10.5,46.85,hold,25.0,75.0,4
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,2043.68,2111.38,3.31,buy,20.0,14.29,35
SKIS-B.ST,SkiStar AB ser. B,Consumer Cyclical,Resorts & Casinos,108.5,133.5,23.04,hold,0.0,100.0,1
8771.T,EGUARANTEE INC.,Financial Services,Credit Services,1944.0,2800.0,44.03,buy,50.0,0.0,2
RGP,"Resources Connection, Inc.",Industrials,Consulting Services,15.89,20.5,29.01,hold,33.33,33.33,3
NWPX,Northwest Pipe Company,Industrials,Metal Fabrication,28.83,39.5,37.01,buy,100.0,0.0,1
QDEL,QuidelOrtho Corporation,Healthcare,Medical Devices,84.37,124.0,46.97,buy,71.43,0.0,7
PRST,"Presto Automation, Inc.",Technology,Software—Application,4.5,5.0,11.11,buy,0.0,0.0,1
LANC,Lancaster Colony Corporation,Consumer Defensive,Packaged Foods,200.33,222.0,10.82,hold,28.57,0.0,7
VTOL,"Bristow Group, Inc.",Energy,Oil & Gas Equipment & Services,26.84,39.5,47.17,buy,100.0,0.0,2
SNTI,"Senti Biosciences, Inc.",Healthcare,Biotechnology,0.97,4.0,312.37,buy,50.0,0.0,4
EBS,"Emergent Biosolutions, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,9.32,17.75,90.45,buy,83.33,0.0,6
IDCC,"InterDigital, Inc.",Communication Services,Telecom Services,91.07,105.25,15.57,strong_buy,50.0,0.0,4
1377.T,SAKATA SEED CORP,Consumer Defensive,Farm Products,4160.0,4950.0,18.99,strong_buy,100.0,0.0,6
SPFI,"South Plains Financial, Inc.",Financial Services,Banks—Regional,22.65,26.33,16.25,buy,100.0,0.0,3
LSTA,"Lisata Therapeutics, Inc.",Healthcare,Biotechnology,3.87,11.83,205.68,buy,100.0,0.0,3
TWOU,"2U, Inc.",Consumer Defensive,Education & Training Services,3.63,9.95,174.1,buy,100.0,0.0,9
TZOO,Travelzoo,Communication Services,Advertising Agencies,9.03,13.67,51.38,buy,0.0,0.0,2
SOLB.BR,SOLVAY,Basic Materials,Chemicals,98.96,124.3,25.61,buy,42.11,26.32,19
OCN,Ocwen Financial Corporation NEW,Financial Services,Mortgage Finance,28.72,41.67,45.09,buy,0.0,0.0,3
HBCP,"Home Bancorp, Inc.",Financial Services,Banks—Regional,34.07,40.13,17.79,buy,0.0,0.0,3
RGNX,REGENXBIO Inc.,Healthcare,Biotechnology,18.9,41.36,118.84,buy,100.0,0.0,5
FVRR,Fiverr International Ltd.,Communication Services,Internet Content & Information,26.04,43.6,67.43,buy,63.64,0.0,11
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,169.29,189.29,11.81,buy,23.08,3.85,26
BFIN,BankFinancial Corporation,Financial Services,Banks—Regional,7.9,9.5,20.25,buy,50.0,0.0,2
4318.T,QUICK CO LTD,Industrials,Staffing & Employment Services,2240.0,2330.0,4.02,strong_buy,100.0,0.0,1
RBBN,Ribbon Communications Inc.,Communication Services,Telecom Services,2.78,6.13,120.5,buy,66.67,16.67,6
CNXN,"PC Connection, Inc.",Technology,Electronics & Computer Distribution,44.22,61.0,37.95,buy,66.67,0.0,3
CIR.MI,CIR,Consumer Cyclical,Auto Parts,0.37,0.6,62.16,none,33.33,0.0,3
6479.T,MINEBEA MITSUMI INC,Technology,Electronic Components,2669.5,3168.6,18.7,buy,62.5,0.0,16
BAND,Bandwidth Inc.,Technology,Software—Infrastructure,12.66,20.0,57.98,buy,100.0,0.0,5
MKUL,"Molekule Group, Inc.",Industrials,Pollution & Treatment Controls,2.4,7.0,191.67,buy,100.0,0.0,1
NEE,"NextEra Energy, Inc.",Utilities,Utilities—Regulated Electric,74.17,92.58,24.82,buy,86.67,0.0,15
ADV,Advantage Solutions Inc.,Communication Services,Advertising Agencies,2.24,3.3,47.32,hold,0.0,0.0,3
IMCC,IM Cannabis Corp.,Healthcare,Drug Manufacturers—Specialty & Generic,0.82,9.22,1024.39,buy,50.0,0.0,2
OBNK,"Origin Bancorp, Inc.",Financial Services,Banks—Regional,28.61,34.4,20.24,buy,50.0,0.0,4
TRU,TransUnion,Industrials,Consulting Services,74.22,80.47,8.42,buy,71.43,0.0,14
4343.T,AEON FANTASY CO LTD,Consumer Cyclical,Leisure,3220.0,4550.0,41.3,none,100.0,0.0,4
EHE.AX,ESTIA HLTH FPO,Healthcare,Medical Care Facilities,2.91,3.06,5.15,buy,33.33,33.33,6
6999.T,KOA CORPORATION,Technology,Electronic Components,1778.0,2500.0,40.61,buy,100.0,0.0,2
6875.T,MEGACHIPS CORP,Technology,Semiconductors,3600.0,4562.5,26.74,buy,50.0,0.0,4
CQP,"Cheniere Energy Partners, LP Ch",Energy,Oil & Gas Midstream,45.96,51.08,11.14,hold,46.67,0.0,15
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,84.72,104.73,23.62,buy,100.0,0.0,10
LUVE.MI,LUVE,Industrials,Building Products & Equipment,29.2,34.0,16.44,strong_buy,100.0,0.0,1
IPN.PA,IPSEN,Healthcare,Drug Manufacturers—Specialty & Generic,108.6,113.5,4.51,hold,73.33,0.0,15
IPS.PA,IPSOS,Industrials,Consulting Services,50.65,66.2,30.7,buy,75.0,0.0,8
QNST,"QuinStreet, Inc.",Communication Services,Advertising Agencies,8.44,11.31,34.0,buy,50.0,50.0,2
NP3.ST,NP3 Fastigheter AB,Real Estate,Real Estate Services,155.7,227.5,46.11,buy,100.0,0.0,1
2267.T,YAKULT HONSHA CO,Consumer Defensive,Beverages—Non-Alcoholic,9328.0,10919.2,17.06,buy,33.33,16.67,12
MEDS,"TRxADE HEALTH, Inc.",Healthcare,Pharmaceutical Retailers,8.44,13.5,59.95,buy,100.0,0.0,3
IHS,IHS Holding Limited,Communication Services,Telecom Services,8.54,15.29,79.04,buy,100.0,0.0,8
XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,111.03,122.78,10.58,buy,62.5,0.0,16
KOD,Kodiak Sciences Inc,Healthcare,Biotechnology,7.24,12.25,69.2,hold,100.0,0.0,1
VGR,Vector Group Ltd.,Consumer Defensive,Tobacco,12.62,16.0,26.78,strong_buy,100.0,0.0,1
ARCAD.AS,ARCADIS,Industrials,Engineering & Construction,37.4,48.2,28.88,strong_buy,33.33,0.0,6
PRLD,Prelude Therapeutics Incorporat,Healthcare,Biotechnology,4.7,10.75,128.72,hold,40.0,20.0,5
ABI.BR,AB INBEV,Consumer Defensive,Beverages—Brewers,52.4,65.01,24.06,buy,68.75,3.12,32
USDP,USD Partners LP,Industrials,Railroads,1.01,4.0,296.04,strong_buy,0.0,33.33,3
TCBX,"Third Coast Bancshares, Inc.",Financial Services,Banks—Regional,16.93,21.0,24.04,buy,50.0,0.0,4
CHS,"Chico's FAS, Inc.",Consumer Cyclical,Apparel Retail,5.32,7.63,43.42,buy,25.0,8.33,12
NEM,Newmont Corporation,Basic Materials,Gold,41.58,78.03,87.66,hold,61.11,0.0,18
7762.T,CITIZEN WATCH CO LTD,Industrials,Conglomerates,874.0,796.7,-8.84,underperform,11.11,0.0,9
ASTS,"AST SpaceMobile, Inc.",Communication Services,Telecom Services,6.85,20.67,201.75,buy,100.0,0.0,3
PWSC,"PowerSchool Holdings, Inc.",Technology,Software—Application,19.06,26.08,36.83,buy,92.86,0.0,14
IOBT,"IO Biotech, Inc.",Healthcare,Biotechnology,1.86,12.25,558.6,buy,100.0,0.0,5
PACK,Ranpak Holdings Corp,Consumer Cyclical,Packaging & Containers,4.06,7.63,87.93,buy,75.0,0.0,4
HOOD,"Robinhood Markets, Inc.",Technology,Software—Infrastructure,9.49,11.61,22.34,hold,21.43,28.57,14
CBG.L,CLOSE BROTHERS GROUP PLC ORD 25,Financial Services,Banks—Regional,836.5,1102.22,31.77,hold,7.69,15.38,13
EQ,"Equillium, Inc.",Healthcare,Biotechnology,0.71,4.67,557.75,buy,100.0,0.0,2
ATEN,"A10 Networks, Inc.",Technology,Software—Infrastructure,14.52,20.67,42.36,buy,60.0,0.0,5
SONO,"Sonos, Inc.",Technology,Consumer Electronics,15.2,22.12,45.53,buy,50.0,0.0,6
CORT,Corcept Therapeutics Incorporat,Healthcare,Biotechnology,21.86,30.67,40.3,buy,60.0,40.0,5
STT,State Street Corporation,Financial Services,Asset Management,71.07,84.79,19.3,buy,35.0,0.0,20
SSNC,"SS&C Technologies Holdings, Inc",Technology,Software—Application,58.49,67.07,14.67,buy,91.67,0.0,12
AIM,AIM ImmunoTech Inc.,Healthcare,Biotechnology,0.47,3.92,734.04,buy,100.0,0.0,3
VVX,"V2X, Inc.",Industrials,Aerospace & Defense,47.8,59.8,25.1,buy,100.0,0.0,5
MGNI,"Magnite, Inc.",Communication Services,Advertising Agencies,13.3,15.59,17.22,buy,90.91,0.0,11
TSEM,Tower Semiconductor Ltd.,Technology,Semiconductors,38.55,49.0,27.11,hold,100.0,0.0,2
8964.T,FRONTIER REAL ESTATE INVESTMENT,Real Estate,REIT—Diversified,482500.0,515400.0,6.82,hold,14.29,0.0,7
AMSWA,"American Software, Inc.",Technology,Software—Application,10.42,18.0,72.74,strong_buy,100.0,0.0,2
INTU,Intuit Inc.,Technology,Software—Application,452.69,491.44,8.56,buy,40.91,9.09,22
TRHC,"Tabula Rasa HealthCare, Inc.",Healthcare,Health Information Services,6.83,8.38,22.69,buy,80.0,0.0,5
GETI-B.ST,Getinge AB ser. B,Healthcare,Medical Devices,182.65,258.13,41.32,hold,28.57,28.57,14
RY,Royal Bank Of Canada,Financial Services,Banks—Diversified,92.76,102.45,10.45,buy,60.0,20.0,5
WBA,"Walgreens Boots Alliance, Inc.",Healthcare,Pharmaceutical Retailers,31.4,39.07,24.43,hold,62.5,0.0,24
ICAD.PA,ICADE,Real Estate,REIT—Diversified,37.7,48.7,29.18,hold,60.0,6.67,15
LFT,"Lument Finance Trust, Inc.",Real Estate,REIT—Mortgage,1.95,2.5,28.21,buy,60.0,0.0,5
ASRNL.AS,ASR NEDERLAND,Financial Services,Insurance—Diversified,39.82,51.7,29.83,buy,50.0,12.5,16
AIV,Apartment Investment and Manage,Real Estate,REIT—Residential,7.97,40.0,401.88,strong_buy,31.25,12.5,16
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,228.36,248.0,8.6,buy,30.0,10.0,10
CPK,Chesapeake Utilities Corporatio,Utilities,Utilities—Regulated Gas,120.31,135.43,12.57,buy,28.57,0.0,7
3341.T,NIHON CHOUZAI CO LTD,Healthcare,Pharmaceutical Retailers,1164.0,1325.0,13.83,hold,100.0,0.0,1
MAXR,Maxar Technologies Inc.,Technology,Communication Equipment,52.99,25.26,-52.33,hold,75.0,0.0,4
FLS,Flowserve Corporation,Industrials,Specialty Industrial Machinery,35.71,39.9,11.73,buy,22.22,5.56,18
MTG,MGIC Investment Corporation,Financial Services,Insurance—Specialty,15.22,17.29,13.6,buy,83.33,0.0,12
7202.T,ISUZU MOTORS,Consumer Cyclical,Auto Manufacturers,1723.5,2128.3,23.49,buy,50.0,6.25,16
VERO,Venus Concept Inc.,Healthcare,Medical Devices,2.0,13.0,550.0,buy,66.67,0.0,3
SPIE.PA,SPIE,Industrials,Engineering & Construction,28.48,31.3,9.9,buy,75.0,0.0,12
ARAY,Accuray Incorporated,Healthcare,Medical Devices,3.65,8.3,127.4,buy,33.33,16.67,6
JYNT,The Joint Corp.,Healthcare,Medical Care Facilities,13.07,29.9,128.77,buy,100.0,0.0,3
TRA.NZ,Turners Automotive Group Ltd Or,Consumer Cyclical,Auto & Truck Dealerships,3.68,4.35,18.21,buy,50.0,0.0,2
GROM,Grom Social Enterprises Inc.,Communication Services,Internet Content & Information,0.39,0.6,53.85,buy,100.0,0.0,1
CHG.L,CHEMRING GROUP PLC ORD 1P,Industrials,Aerospace & Defense,291.0,373.29,28.28,buy,60.0,0.0,5
GRNT,"Granite Ridge Resources, Inc.",Energy,Oil & Gas E&P,6.79,8.0,17.82,buy,100.0,0.0,1
EUR.WA,EUROCASH,Consumer Defensive,Grocery Stores,18.16,21.4,17.84,buy,43.75,18.75,16
KOF.PA,KAUFMAN ET BROAD,Consumer Cyclical,Residential Construction,26.05,34.4,32.05,buy,71.43,0.0,7
NESTE.HE,Neste Corporation,Energy,Oil & Gas Refining & Marketing,34.7,51.4,48.13,buy,21.05,36.84,19
SYNA,Synaptics Incorporated,Technology,Semiconductors,81.16,101.78,25.41,buy,46.67,13.33,15
HLIT,Harmonic Inc.,Technology,Communication Equipment,16.65,20.83,25.11,buy,50.0,16.67,6
ALTI,"AlTi Global, Inc.",Financial Services,Asset Management,6.0,8.0,33.33,strong_buy,100.0,0.0,1
STSS,Sharps Technology Inc.,Healthcare,Medical Instruments & Supplies,0.84,16.0,1804.76,buy,100.0,0.0,1
TMP,Tompkins Financial Corporation,Financial Services,Banks—Regional,56.93,61.0,7.15,hold,0.0,0.0,2
BOS.TO,AIRBOSS AMERICA J,Basic Materials,Specialty Chemicals,6.63,12.57,89.59,buy,40.0,0.0,5
AESI,Atlas Energy Solutions Inc.,Energy,Oil & Gas Equipment & Services,16.25,24.2,48.92,buy,100.0,0.0,10
OPRT,Oportun Financial Corporation,Financial Services,Credit Services,5.53,6.69,20.98,buy,60.0,0.0,5
WH,"Wyndham Hotels & Resorts, Inc.",Consumer Cyclical,Lodging,66.43,87.56,31.81,buy,85.71,0.0,7
SBEV,"Splash Beverage Group, Inc. (NV",Consumer Defensive,Beverages—Wineries & Distilleries,0.97,2.75,183.51,buy,100.0,0.0,2
FHTX,Foghorn Therapeutics Inc.,Healthcare,Biotechnology,8.65,16.33,88.79,buy,85.71,0.0,7
PSTG,"Pure Storage, Inc.",Technology,Computer Hardware,35.85,40.02,11.63,buy,70.0,0.0,20
BCSF,"Bain Capital Specialty Finance,",Financial Services,Asset Management,13.3,13.0,-2.26,hold,66.67,0.0,6
MATX,"Matson, Inc.",Industrials,Marine Shipping,74.04,71.5,-3.43,hold,50.0,16.67,6
VC,Visteon Corporation,Consumer Cyclical,Auto Parts,142.57,170.38,19.51,buy,52.94,0.0,17
WDC,Western Digital Corporation,Technology,Computer Hardware,37.86,45.5,20.18,buy,75.86,0.0,29
ANF,Abercrombie & Fitch Company,Consumer Cyclical,Apparel Retail,36.93,32.2,-12.81,hold,12.5,31.25,16
3626.T,TIS INC.,Technology,Information Technology Services,3611.0,4015.4,11.2,hold,70.0,0.0,10
