Ticker,Name,Sector,Industry,Price,Div_Yield,PE,Ind_PE,PEG,Ind_PEG,PB,Ind_PB,EV_EBITDA,Ind_EV_EBITDA,EV_Sales,Ind_EV_Sales,Debt_EBITDA,Ind_Debt_EBITDA,Beta,Short_Perc_Float
PINC,"Premier, Inc.",Healthcare,Health Information Services,27.98,3.0,10.56,42.67,2.01,4.05,1.42,3.06,8.71,60.59,2.79,12.51,1.16,0.65,0.32,1.35
GIC,Global Industrial Company,Industrials,Industrial Distribution,27.3,2.89,13.12,18.58,0.88,2.72,4.78,7.08,11.15,13.83,0.94,2.04,1.01,1.31,0.86,1.11
UE,Urban Edge Properties,Real Estate,REIT—Retail,16.78,3.88,39.02,37.98,10.24,-8.65,2.1,2.46,17.5,18.33,9.26,11.66,8.31,7.04,1.59,7.78
CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,69.52,2.3,10.24,15.71,1.98,0.89,3.55,3.64,7.58,15.3,1.21,2.25,2.01,4.5,1.29,2.01
BXP,"Boston Properties, Inc.",Real Estate,REIT—Office,64.42,6.38,29.69,-11.92,3.55,-16.06,1.67,0.8,14.46,14.28,8.35,7.38,8.39,8.54,1.14,8.94
MPLX,MPLX LP,Energy,Oil & Gas Midstream,34.67,8.98,9.08,10.28,1.24,1.35,2.93,5.9,9.84,8.52,5.04,3.75,3.64,3.58,1.39,2.52
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers—Specialty & Generic,170.89,0.88,28.11,13.4,2.81,1.07,17.59,5.33,25.52,13.94,10.34,3.79,2.07,4.55,0.77,0.53
SEM,Select Medical Holdings Corpora,Healthcare,Medical Care Facilities,30.12,1.68,12.87,21.06,0.52,2.27,3.27,4.7,14.44,16.59,1.42,2.4,8.22,3.98,1.41,5.97
TT,Trane Technologies plc,Industrials,Building Products & Equipment,195.85,1.51,21.13,16.35,2.08,2.2,7.4,4.83,18.15,13.06,3.04,2.4,1.77,2.04,1.21,1.05
CNS,Cohen & Steers Inc,Financial Services,Asset Management,65.94,3.51,18.57,12.37,11.09,1.86,9.61,3.49,14.61,13.34,5.84,3.11,0.64,2.9,1.33,7.39
RMAX,"RE/MAX Holdings, Inc.",Real Estate,Real Estate Services,19.65,4.62,11.77,31.51,0.11,-3.28,0.75,3.52,3.59,66.9,0.88,3.44,5.82,6.62,1.48,4.89
BSM,"Black Stone Minerals, L.P.",Energy,Oil & Gas E&P,16.67,11.54,10.35,8.79,1.4,-0.58,3.72,2.99,5.5,3.81,5.01,2.6,0.01,0.65,1.05,1.34
CVI,CVR Energy Inc.,Energy,Oil & Gas Refining & Marketing,32.7,6.28,15.72,13.72,-0.25,13.0,4.87,4.72,3.19,6.76,0.4,0.71,1.19,2.84,1.58,17.09
BRKR,Bruker Corporation,Healthcare,Medical Devices,75.77,0.27,26.13,23.38,1.18,1.68,9.42,4.97,19.96,21.29,4.37,4.93,2.17,3.13,1.14,4.47
AIN,Albany International Corporatio,Consumer Cyclical,Textile Manufacturing,93.41,1.06,22.62,22.62,-21.64,-21.64,3.26,3.26,12.43,12.43,2.94,2.94,1.96,1.96,1.32,0.8
WSO,"Watsco, Inc.",Industrials,Industrial Distribution,369.35,2.69,25.21,18.58,5.84,2.72,6.96,7.08,16.79,13.83,1.92,2.04,0.65,1.31,0.93,14.74
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,74.36,0.38,20.15,24.16,2.71,4.11,2.66,4.55,18.95,20.8,4.86,4.68,2.04,2.3,1.19,1.83
HPE,Hewlett Packard Enterprise Comp,Technology,Communication Equipment,17.27,2.85,8.11,12.3,1.78,3.5,1.1,22.97,6.54,-2.99,1.12,2.0,2.65,-0.29,1.27,2.92
GLNG,Golar LNG Limited,Energy,Oil & Gas Midstream,23.98,4.23,9.55,10.28,2.92,1.35,1.2,5.9,9.1,8.52,12.25,3.75,3.24,3.58,0.69,1.57
ORCL,Oracle Corporation,Technology,Software—Infrastructure,118.69,1.34,18.84,16.62,1.88,1.7,299.72,48.17,21.56,16.38,8.2,5.64,5.02,2.6,1.0,1.05
PGR,Progressive Corporation (The),Financial Services,Insurance—Property & Casualty,118.22,0.34,15.62,13.32,1.0,-6.63,4.14,2.28,27.05,8.69,1.32,1.62,2.53,-0.38,0.5,0.53
HAYN,"Haynes International, Inc.",Industrials,Metal Fabrication,49.82,1.73,10.69,13.23,0.65,7.7,1.55,2.01,8.16,9.25,1.3,1.02,1.3,1.84,1.54,1.73
DINO,HF Sinclair Corporation,Energy,Oil & Gas Refining & Marketing,47.4,3.91,7.83,13.72,1.94,13.0,0.98,4.72,2.49,6.76,0.31,0.71,0.76,2.84,1.38,5.7
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,130.75,1.13,9.62,10.33,17.3,2.53,1.5,2.23,6.72,6.25,1.17,1.08,0.88,1.42,1.47,2.92
FL,"Foot Locker, Inc.",Consumer Cyclical,Apparel Retail,26.12,6.31,8.79,11.25,-1.82,-0.89,0.75,4.09,7.3,9.37,0.61,1.06,4.39,3.3,1.23,18.94
NTR,Nutrien Ltd.,Basic Materials,Agricultural Inputs,64.45,3.29,11.25,12.72,-0.46,-1.02,1.27,5.11,4.42,7.99,1.29,1.66,1.47,2.27,0.95,1.21
REYN,Reynolds Consumer Products Inc.,Consumer Cyclical,Packaging & Containers,27.89,3.39,17.88,12.57,12.15,0.67,3.21,4.07,15.38,9.66,2.02,1.43,4.26,3.59,0.47,3.38
PDM,"Piedmont Office Realty Trust, I",Real Estate,REIT—Office,7.98,10.76,-199.5,-11.92,-191.0,-16.06,0.54,0.8,13.29,14.28,5.25,7.38,9.76,8.54,1.02,4.29
PCYG,"Park City Group, Inc.",Technology,Software—Application,9.74,0.62,27.83,20.59,1.52,17.8,3.95,5.7,26.31,20.89,8.3,5.68,0.13,2.75,1.15,7.69
NVDA,NVIDIA Corporation,Technology,Semiconductors,470.77,0.04,42.37,15.76,2.84,-0.32,47.48,9.08,183.88,28.89,43.27,8.82,1.98,1.66,1.75,1.1
OSK,Oshkosh Corporation (Holding Co,Industrials,Farm & Heavy Construction Machinery,91.99,1.79,12.87,12.47,0.34,0.91,1.85,2.82,9.77,11.82,0.71,1.24,0.96,2.95,1.4,2.34
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,394.84,0.02,27.55,28.49,3.07,5.05,2.65,5.1,26.22,23.57,6.42,5.92,3.14,2.33,0.9,1.53
BGFV,Big 5 Sporting Goods Corporatio,Consumer Cyclical,Specialty Retail,9.68,10.17,16.98,13.67,-5.06,1.12,0.8,5.31,11.87,9.72,0.48,0.92,7.3,2.75,2.8,17.42
WM,"Waste Management, Inc.",Industrials,Waste Management,166.7,1.68,24.7,29.62,3.28,2.05,9.98,5.43,15.0,15.77,4.16,4.36,2.78,3.74,0.73,1.02
AVA,Avista Corporation,Utilities,Utilities—Diversified,38.95,4.75,15.83,16.27,2.67,2.76,1.24,2.62,13.22,12.36,3.39,3.38,6.67,5.32,0.5,5.56
AM,Antero Midstream Corporation,Energy,Oil & Gas Midstream,11.86,7.61,12.48,10.28,1.35,1.35,2.61,5.9,11.6,8.52,8.65,3.75,4.33,3.58,2.23,2.83
NWE,NorthWestern Corporation,Utilities,Utilities—Diversified,57.17,4.48,15.92,16.27,3.66,2.76,1.27,2.62,12.36,12.36,3.9,3.38,5.34,5.32,0.45,1.95
ORA,"Ormat Technologies, Inc.",Utilities,Utilities—Renewable,84.41,0.57,33.5,-6.74,1.2,-0.14,2.31,1.8,17.2,19.22,9.38,11.31,5.27,7.38,0.44,9.81
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,36.14,4.51,11.97,18.32,2.21,3.98,0.9,4.46,10.49,15.9,2.35,2.17,3.35,3.59,0.66,1.49
OPI,Office Properties Income Trust,Real Estate,REIT—Office,8.61,18.58,-17.57,-11.92,-7.13,-16.06,0.31,0.8,9.16,14.28,5.37,7.38,7.9,8.54,1.2,13.56
STE,STERIS plc (Ireland),Healthcare,Medical Devices,227.44,0.83,23.84,23.38,2.64,1.68,3.69,4.97,19.09,21.29,5.15,4.93,2.45,3.13,0.86,2.12
CI,The Cigna Group,Healthcare,Healthcare Plans,292.66,1.73,10.37,12.66,0.99,1.32,1.95,3.0,10.8,10.0,0.59,0.69,3.28,2.84,0.65,1.11
SPTN,SpartanNash Company,Consumer Defensive,Food Distribution,21.75,3.95,8.7,15.82,1.06,2.01,1.0,7.31,9.62,15.32,0.17,0.39,5.13,3.95,0.7,2.44
WRB,W.R. Berkley Corporation,Financial Services,Insurance—Property & Casualty,60.63,0.75,10.83,13.32,1.47,-6.63,2.29,2.28,11.09,8.69,1.49,1.62,2.03,-0.38,0.62,1.81
ARCB,ArcBest Corporation,Industrials,Trucking,109.92,0.48,11.59,14.64,-9.11,11.42,2.2,2.9,5.04,7.53,0.46,1.62,0.95,0.95,1.56,9.23
CMS,CMS Energy Corporation,Utilities,Utilities—Regulated Electric,60.51,3.22,18.06,16.83,2.46,1.98,2.57,1.91,14.15,12.76,3.8,4.19,6.33,5.63,0.36,3.15
KNOP,KNOT Offshore Partners LP,Industrials,Marine Shipping,5.53,1.88,11.29,5.57,-4.05,-2.91,0.34,0.76,7.71,4.45,4.64,2.3,6.34,2.51,0.76,1.2
MLKN,"MillerKnoll, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",17.86,4.2,8.01,10.34,0.3,1.11,0.94,22.36,12.1,9.35,0.76,0.88,7.29,4.04,1.41,4.27
RCKY,"Rocky Brands, Inc.",Consumer Cyclical,Footwear & Accessories,22.91,2.8,6.49,10.27,0.98,1.18,0.79,3.77,7.43,12.35,0.69,1.21,4.39,4.22,1.22,4.14
BKH,Black Hills Corporation,Utilities,Utilities—Diversified,60.14,4.2,15.5,16.27,2.97,2.76,1.29,2.62,11.94,12.36,3.2,3.38,6.32,5.32,0.58,4.14
TRNO,Terreno Realty Corporation,Real Estate,REIT—Industrial,59.08,2.71,41.9,108.81,4.55,-10.63,1.86,3.07,33.77,23.49,19.63,14.66,4.65,5.99,0.83,3.76
BRDG,Bridge Investment Group Holding,Financial Services,Asset Management,12.64,4.72,10.71,12.37,0.81,1.86,4.87,3.49,9.6,13.34,3.54,3.11,3.68,2.9,1.72,2.09
PNM,"PNM Resources, Inc. (Holding Co",Utilities,Utilities—Regulated Electric,45.35,3.21,16.14,16.83,3.14,1.98,1.76,1.91,11.2,12.76,3.65,4.19,5.97,5.63,0.4,2.47
VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,26.69,0.04,17.56,15.74,0.39,-2.69,6.53,5.09,18.38,12.8,2.16,2.0,4.73,2.25,1.9,2.62
PAHC,Phibro Animal Health Corporatio,Healthcare,Drug Manufacturers—Specialty & Generic,14.53,3.35,10.92,13.4,3.29,1.07,2.16,5.33,9.45,13.94,1.04,3.79,4.81,4.55,0.61,2.78
AZZ,AZZ Inc.,Industrials,Specialty Business Services,43.63,1.57,9.55,18.53,1.09,2.02,1.25,3.53,6.99,16.99,1.42,3.51,3.47,3.78,1.31,1.6
HON,Honeywell International Inc.,Industrials,Conglomerates,205.17,2.01,20.29,13.14,2.82,0.56,8.07,3.54,18.14,11.46,4.23,1.7,2.4,3.48,1.1,0.85
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,57.0,1.42,16.38,12.57,5.96,0.67,4.93,4.07,13.91,9.66,1.8,1.43,5.16,3.59,0.8,5.58
EXC,Exelon Corporation,Utilities,Utilities—Regulated Electric,41.51,3.49,16.54,16.83,2.78,1.98,1.65,1.91,13.19,12.76,4.29,4.19,6.66,5.63,0.61,1.06
FDP,"Fresh Del Monte Produce, Inc.",Consumer Defensive,Farm Products,26.35,3.08,11.51,18.42,0.54,-6.29,0.65,1.26,8.1,-30.37,0.46,0.83,2.77,-3.31,0.68,1.81
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers—General,453.56,1.0,37.21,14.76,2.16,4.72,36.45,12.54,48.71,14.98,16.1,5.88,2.07,2.1,0.36,0.66
WMB,"Williams Companies, Inc. (The)",Energy,Oil & Gas Midstream,33.32,5.37,18.51,10.28,4.77,1.35,3.46,5.9,11.64,8.52,5.98,3.75,4.24,3.58,1.2,2.24
MATX,"Matson, Inc.",Industrials,Marine Shipping,82.45,1.61,17.14,5.57,1.2,-2.91,1.3,0.76,3.39,4.45,0.93,2.3,0.79,2.51,1.19,4.72
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,199.95,0.16,24.15,18.24,1.85,4.2,5.26,3.78,22.42,15.1,1.87,1.32,3.01,2.45,1.08,3.88
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,503.7,1.37,18.03,12.66,1.57,1.32,5.42,3.0,14.84,10.0,1.42,0.69,1.97,2.84,0.66,0.65
NPO,EnPro Industries Inc,Industrials,Specialty Industrial Machinery,142.36,0.81,18.63,19.72,3.97,2.23,2.07,4.77,13.34,15.78,3.07,3.15,3.11,2.33,1.51,2.14
HL,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining,6.13,0.41,47.15,47.15,-2.63,-2.63,1.85,1.85,24.82,24.82,5.66,5.66,3.21,3.21,2.03,3.01
V,Visa Inc.,Financial Services,Credit Services,241.42,0.75,24.69,14.11,1.93,5.01,13.5,16.12,23.06,16.29,16.12,8.18,0.95,5.94,0.97,1.82
LPLA,LPL Financial Holdings Inc.,Financial Services,Capital Markets,229.26,0.53,12.55,21.8,0.74,1.93,8.19,8.48,10.9,17.68,2.25,7.59,1.67,0.94,0.92,1.17
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,44.36,1.17,45.27,21.38,3.52,1.66,16.98,8.14,36.62,16.48,7.99,3.82,0.57,2.8,0.67,4.0
AIZ,"Assurant, Inc.",Financial Services,Insurance—Specialty,128.01,2.25,9.37,9.57,0.99,1.23,1.55,1.33,10.38,9.96,0.69,2.6,3.13,2.69,0.54,1.81
KLIC,"Kulicke and Soffa Industries, I",Technology,Semiconductor Equipment & Materials,57.53,1.32,23.97,24.25,1.95,336.9,2.75,9.66,10.82,16.28,2.55,4.95,0.2,1.65,1.4,18.91
GHC,Graham Holdings Company,Consumer Defensive,Education & Training Services,584.61,1.13,9.51,13.6,0.77,1.14,0.74,0.89,6.32,10.17,0.81,1.2,2.24,2.18,1.03,2.5
PRU,"Prudential Financial, Inc.",Financial Services,Insurance—Life,94.3,5.34,7.2,8.18,-1.93,0.71,1.1,1.84,348.49,52.82,0.64,1.67,291.99,40.86,1.39,1.87
KALU,Kaiser Aluminum Corporation,Basic Materials,Aluminum,79.27,4.05,14.18,13.59,0.61,-28.18,1.98,1.66,18.79,13.14,0.72,0.72,8.97,5.3,1.29,4.84
SPG,"Simon Property Group, Inc.",Real Estate,REIT—Retail,123.41,6.0,19.34,37.98,2.33,-8.65,13.62,2.46,17.02,18.33,12.34,11.66,6.72,7.04,1.55,2.13
NL,"NL Industries, Inc.",Industrials,Security & Protection Services,5.6,4.91,8.24,17.05,-0.61,4.97,0.74,5.8,6.92,14.36,0.91,3.22,0.02,2.2,0.75,1.27
FUL,H. B. Fuller Company,Basic Materials,Specialty Chemicals,73.03,1.08,15.54,15.71,1.69,0.89,2.34,3.64,11.29,15.3,1.6,2.25,3.78,4.5,1.54,2.38
WU,Western Union Company (The),Financial Services,Credit Services,12.33,7.62,7.38,14.11,24.0,5.01,8.35,16.12,5.79,16.29,1.34,8.18,2.44,5.94,0.88,7.26
HEES,"H&E Equipment Services, Inc.",Industrials,Rental & Leasing Services,48.27,2.31,10.12,12.05,0.35,0.53,4.16,6.77,11.89,10.61,2.4,4.38,5.58,5.01,2.06,2.08
RES,"RPC, Inc.",Energy,Oil & Gas Equipment & Services,8.72,1.83,6.61,13.13,0.11,0.34,2.0,3.21,3.75,10.91,0.95,2.2,0.07,1.98,1.79,11.74
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages—Brewers,69.18,2.41,14.44,14.44,6.08,6.08,1.18,1.18,13.57,13.57,1.99,1.99,4.25,4.25,0.88,6.1
ARMK,Aramark,Industrials,Specialty Business Services,43.01,1.03,18.0,18.53,0.64,2.02,3.52,3.53,15.78,16.99,1.08,3.51,6.92,3.78,1.64,4.6
JBGS,JBG SMITH Properties,Real Estate,REIT—Office,16.55,5.44,-22.99,-11.92,-10.75,-16.06,0.69,0.8,18.83,14.28,7.49,7.38,10.18,8.54,0.98,9.16
BBSI,"Barrett Business Services, Inc.",Industrials,Staffing & Employment Services,92.01,1.3,11.66,15.08,0.83,0.28,3.61,8.79,7.95,10.52,0.47,1.79,0.33,1.05,1.35,1.28
BDC,Belden Inc,Technology,Communication Equipment,97.58,0.2,12.96,12.3,1.36,3.5,3.66,22.97,11.03,-2.99,1.85,2.0,2.86,-0.29,1.32,3.37
BCC,"Boise Cascade, L.L.C.",Basic Materials,Building Materials,101.1,0.6,12.11,17.7,-0.48,3.67,1.87,4.34,3.52,12.43,0.46,3.47,0.54,1.71,1.57,2.29
CEQP,Crestwood Equity Partners LP,Energy,Oil & Gas Midstream,28.52,9.28,15.42,10.28,4.37,1.35,2.42,5.9,9.86,8.52,1.28,3.75,4.5,3.58,2.42,5.9
DCP,"DCP Midstream,  LP",Energy,Oil & Gas Midstream,41.69,4.13,10.8,10.28,0.34,1.35,1.48,5.9,11.47,8.52,0.98,3.75,4.1,3.58,2.33,3.82
STNG,Scorpio Tankers Inc.,Energy,Oil & Gas Midstream,42.28,2.37,4.28,10.28,-0.09,1.35,0.94,5.9,3.19,8.52,2.17,3.75,1.71,3.58,0.41,5.68
SM,SM Energy Company,Energy,Oil & Gas E&P,34.76,1.73,5.34,8.79,0.08,-0.58,1.3,2.99,2.25,3.81,1.81,2.6,0.67,0.65,4.39,8.57
VINP,Vinci Partners Investments Ltd.,Financial Services,Asset Management,9.88,7.09,8.74,12.37,8.05,1.86,0.4,3.49,-2.44,13.34,-1.16,3.11,1.27,2.9,-0.09,0.39
NTAP,"NetApp, Inc.",Technology,Computer Hardware,79.31,2.52,12.71,14.74,1.75,4.0,14.51,9.49,12.05,13.58,2.59,2.3,1.97,1.04,1.21,3.34
NSC,Norfolk Southern Corporation,Industrials,Railroads,237.41,2.3,16.64,16.99,3.46,2.41,4.25,3.92,11.9,13.97,5.33,5.0,2.68,4.62,1.28,0.94
POWI,"Power Integrations, Inc.",Technology,Semiconductors,94.15,0.81,32.8,15.76,-35.09,-0.32,7.07,9.08,28.96,28.89,8.77,8.82,0.0,1.66,1.19,8.1
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,75.21,3.15,15.83,18.32,2.11,3.98,4.22,4.46,15.03,15.9,2.76,2.17,3.27,3.59,0.22,2.31
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,554.11,0.74,35.73,21.59,4.69,2.58,10.42,6.9,23.54,15.36,1.02,0.97,0.88,2.49,0.79,0.87
CTAS,Cintas Corporation,Industrials,Specialty Business Services,504.06,0.91,31.88,18.53,2.9,2.02,13.27,3.53,24.32,16.99,6.1,3.51,1.21,3.78,1.31,1.36
IBP,"Installed Building Products, In",Consumer Cyclical,Residential Construction,148.29,0.9,16.74,10.33,2.91,2.53,8.28,2.23,10.96,6.25,1.79,1.08,2.12,1.42,1.78,7.17
AYI,"Acuity Brands, Inc.",Industrials,Electrical Equipment & Parts,167.65,0.31,12.67,15.74,0.96,-2.69,2.64,5.09,8.78,12.8,1.32,2.0,0.97,2.25,1.54,11.52
CCS,"Century Communities, Inc.",Consumer Cyclical,Residential Construction,78.6,1.18,9.18,10.33,1.73,2.53,1.16,2.23,5.72,6.25,0.76,1.08,2.07,1.42,1.8,6.52
AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT—Diversified,12.48,6.31,32.84,9.62,8.18,0.82,1.83,1.62,17.37,16.66,4.63,10.83,8.68,7.2,0.95,1.79
WEN,Wendy's Company (The),Consumer Cyclical,Restaurants,21.66,4.62,19.34,16.3,1.85,1.3,10.93,6.64,16.63,14.35,3.81,2.33,8.66,4.66,0.91,4.4
BG,Bunge Limited Bunge Limited,Consumer Defensive,Farm Products,103.93,2.57,9.11,18.42,-1.06,-6.29,1.57,1.26,6.64,-30.37,0.3,0.83,2.25,-3.31,0.65,3.05
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,186.02,3.48,15.76,19.03,9.08,8.25,7.97,6.89,11.01,10.65,1.79,1.15,1.64,2.62,1.07,1.23
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,460.49,1.27,10.88,12.05,0.76,0.53,4.45,6.77,11.45,10.61,3.55,4.38,3.25,5.01,1.89,4.06
PGRE,"Paramount Group, Inc.",Real Estate,REIT—Office,5.04,5.31,-21.0,-11.92,-3.28,-16.06,0.31,0.8,15.32,14.28,7.73,7.38,11.05,8.54,1.21,10.64
SMP,"Standard Motor Products, Inc.",Consumer Cyclical,Auto Parts,37.94,3.06,9.34,12.02,1.53,0.86,1.32,2.6,7.47,9.9,0.85,1.45,2.25,2.66,0.58,1.14
CVGW,"Calavo Growers, Inc.",Consumer Defensive,Food Distribution,36.14,1.58,22.31,15.82,3.57,2.01,3.03,7.31,30.95,15.32,0.6,0.39,4.14,3.95,0.67,4.97
MGIC,Magic Software Enterprises Ltd.,Technology,Information Technology Services,13.23,4.46,11.21,14.98,1.37,2.2,2.55,5.12,9.07,12.69,1.14,2.17,1.32,2.8,1.18,0.04
NI,NiSource Inc,Utilities,Utilities—Regulated Gas,27.7,3.61,16.49,14.79,2.68,2.96,1.87,1.98,12.49,17.02,4.18,3.14,5.83,8.25,0.47,1.77
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,35.2,2.17,17.34,13.13,0.53,0.34,2.42,3.21,12.42,10.91,1.75,2.2,2.17,1.98,1.5,2.33
